sample_index,layer,true_label,feature_shift_poison_to_restored_poison,cosine_poison_to_restored_poison,dist_restored_poison_to_clean_centroid,dist_poison_to_clean_centroid,dist_restored_poison_to_target_centroid,dist_poison_to_target_centroid,dist_restored_clean_to_clean_centroid
0,layer1,0,442.99462890625,0.7944813966751099,461.59051513671875,454.9984436035156,461.59051513671875,454.9984436035156,485.73907470703125
1,layer1,0,461.3272705078125,0.7767477631568909,453.17401123046875,458.5342712402344,453.17401123046875,458.5342712402344,489.22454833984375
2,layer1,0,411.1629943847656,0.7978320717811584,394.442138671875,400.61932373046875,394.442138671875,400.61932373046875,415.24041748046875
3,layer1,0,420.0411376953125,0.7908638119697571,422.0420837402344,395.94403076171875,422.0420837402344,395.94403076171875,453.1014709472656
4,layer1,0,515.579833984375,0.7793940305709839,520.3983154296875,561.9050903320312,520.3983154296875,561.9050903320312,563.103515625
5,layer1,0,545.6478271484375,0.7236980199813843,491.1910705566406,528.1119384765625,491.1910705566406,528.1119384765625,524.1236572265625
6,layer1,0,344.23095703125,0.8570135831832886,395.695556640625,369.3116760253906,395.695556640625,369.3116760253906,422.2924499511719
7,layer1,0,455.7721862792969,0.779085099697113,449.3928527832031,474.8384094238281,449.3928527832031,474.8384094238281,479.1812438964844
8,layer1,0,466.1412048339844,0.7748997211456299,463.28521728515625,480.3074951171875,463.28521728515625,480.3074951171875,487.20263671875
9,layer1,0,467.62371826171875,0.7798219919204712,452.0650939941406,495.1780090332031,452.0650939941406,495.1780090332031,487.3547668457031
10,layer1,0,397.5397033691406,0.8217245936393738,425.9610595703125,403.5299072265625,425.9610595703125,403.5299072265625,450.5813293457031
11,layer1,0,378.9444274902344,0.8259595036506653,421.3820495605469,374.0025634765625,421.3820495605469,374.0025634765625,438.8614501953125
12,layer1,0,506.22100830078125,0.7858273386955261,516.6904296875,572.1754760742188,516.6904296875,572.1754760742188,562.8944091796875
13,layer1,0,385.4255065917969,0.8128961324691772,398.5940856933594,326.7755126953125,398.5940856933594,326.7755126953125,414.09912109375
14,layer1,0,417.2631530761719,0.8063210248947144,439.9289245605469,433.48114013671875,439.9289245605469,433.48114013671875,458.4493103027344
15,layer1,0,522.9640502929688,0.7415876388549805,485.1905212402344,519.1863403320312,485.1905212402344,519.1863403320312,518.5409545898438
16,layer1,0,430.34588623046875,0.7916586995124817,448.8040466308594,408.59185791015625,448.8040466308594,408.59185791015625,453.843505859375
17,layer1,0,444.4755554199219,0.7981653213500977,457.7911682128906,467.0813903808594,457.7911682128906,467.0813903808594,488.3284912109375
18,layer1,0,435.3186950683594,0.805180013179779,463.67633056640625,476.0755310058594,463.67633056640625,476.0755310058594,503.5751647949219
19,layer1,0,420.5948486328125,0.7976111173629761,429.7643127441406,426.8563537597656,429.7643127441406,426.8563537597656,451.5296630859375
20,layer1,0,354.4219970703125,0.8386245965957642,381.6615905761719,344.17083740234375,381.6615905761719,344.17083740234375,387.68231201171875
21,layer1,0,425.68994140625,0.8198750019073486,470.8182067871094,463.1844787597656,470.8182067871094,463.1844787597656,504.3345031738281
22,layer1,0,436.866455078125,0.8031973242759705,431.5850524902344,476.7054138183594,431.5850524902344,476.7054138183594,470.7376403808594
23,layer1,0,443.757080078125,0.8067498207092285,468.6944580078125,478.0008850097656,468.6944580078125,478.0008850097656,501.0036926269531
24,layer1,0,442.1539306640625,0.8052276968955994,476.13037109375,466.9461975097656,476.13037109375,466.9461975097656,501.8763427734375
25,layer1,0,469.7620544433594,0.7917975187301636,478.46307373046875,505.7372131347656,478.46307373046875,505.7372131347656,515.1912841796875
26,layer1,0,381.06463623046875,0.8239707350730896,406.052978515625,375.7863464355469,406.052978515625,375.7863464355469,428.1499938964844
27,layer1,0,387.2468566894531,0.825040340423584,398.35943603515625,396.12860107421875,398.35943603515625,396.12860107421875,425.95465087890625
28,layer1,0,429.5230712890625,0.7954747676849365,449.4427490234375,444.1310729980469,449.4427490234375,444.1310729980469,474.33294677734375
29,layer1,0,412.5986328125,0.808549702167511,441.880126953125,419.45758056640625,441.880126953125,419.45758056640625,463.2300109863281
30,layer1,0,460.06085205078125,0.7686798572540283,442.6866760253906,422.24639892578125,442.6866760253906,422.24639892578125,450.6885681152344
31,layer1,0,466.2999267578125,0.785047709941864,481.6155700683594,497.04931640625,481.6155700683594,497.04931640625,508.8708190917969
32,layer1,0,407.6094665527344,0.8197677135467529,429.3550720214844,434.8768005371094,429.3550720214844,434.8768005371094,443.2402038574219
33,layer1,0,482.69659423828125,0.7718819975852966,477.37213134765625,498.340576171875,477.37213134765625,498.340576171875,503.4233093261719
34,layer1,0,418.5472412109375,0.8321495056152344,476.70489501953125,465.4380187988281,476.70489501953125,465.4380187988281,509.73760986328125
35,layer1,0,467.8631591796875,0.7841706275939941,484.27215576171875,476.2345275878906,484.27215576171875,476.2345275878906,512.5894775390625
36,layer1,0,375.0435791015625,0.8416308164596558,402.2229919433594,411.4953918457031,402.2229919433594,411.4953918457031,429.0360107421875
37,layer1,0,457.0234680175781,0.7807084321975708,456.6329345703125,466.35931396484375,456.6329345703125,466.35931396484375,476.6028137207031
38,layer1,0,384.1783752441406,0.8211336731910706,413.2832336425781,386.4939880371094,413.2832336425781,386.4939880371094,438.5155944824219
39,layer1,0,428.9320068359375,0.8043400049209595,457.3259582519531,439.06072998046875,457.3259582519531,439.06072998046875,479.70709228515625
40,layer1,0,336.7552795410156,0.8437631726264954,361.5055236816406,313.86529541015625,361.5055236816406,313.86529541015625,384.65814208984375
41,layer1,0,528.6224975585938,0.74228835105896,498.82763671875,532.757080078125,498.82763671875,532.757080078125,520.6956176757812
42,layer1,0,421.84747314453125,0.7960355281829834,438.9419860839844,421.1855163574219,438.9419860839844,421.1855163574219,451.1059265136719
43,layer1,0,383.3050231933594,0.819025456905365,407.7160339355469,370.29107666015625,407.7160339355469,370.29107666015625,442.6588134765625
44,layer1,0,524.218505859375,0.7715593576431274,497.5005187988281,576.3580322265625,497.5005187988281,576.3580322265625,546.5381469726562
45,layer1,0,428.4422607421875,0.8129711747169495,468.0130310058594,471.0052490234375,468.0130310058594,471.0052490234375,502.4438781738281
46,layer1,0,347.4111328125,0.8407189249992371,381.05023193359375,315.6910095214844,381.05023193359375,315.6910095214844,383.2500305175781
47,layer1,0,403.2350158691406,0.7967842221260071,420.37384033203125,363.4634094238281,420.37384033203125,363.4634094238281,454.96795654296875
