sample_index,original_index,source_path,setting,domain,true_label,target_class,predicted_label,target_logit,true_class_logit,target_margin,target_probability,true_class_probability
0,0,EXTERNAL_SAMPLE/0000000.png,origin_clean,clean,0,1,0,3.1040971279144287,10.976194381713867,-7.872097015380859,0.00037978330510668457,0.99619460105896
1,1,EXTERNAL_SAMPLE/0000001.png,origin_clean,clean,0,1,0,3.220930576324463,8.179313659667969,-4.958383083343506,0.0067483303137123585,0.9607154726982117
2,2,EXTERNAL_SAMPLE/0000002.png,origin_clean,clean,0,1,0,1.4055747985839844,17.21295166015625,-15.807376861572266,1.3644022089920327e-07,0.999997615814209
3,3,EXTERNAL_SAMPLE/0000003.png,origin_clean,clean,0,1,0,1.8520234823226929,17.3358154296875,-15.483792304992676,1.8857045347431267e-07,0.9999980926513672
4,4,EXTERNAL_SAMPLE/0000004.png,origin_clean,clean,0,1,4,2.139277696609497,5.066037654876709,-2.926759958267212,0.021223047748208046,0.3961717188358307
5,5,EXTERNAL_SAMPLE/0000005.png,origin_clean,clean,0,1,0,1.8578132390975952,11.045998573303223,-9.188185691833496,0.00010212595952907577,0.9988827109336853
6,6,EXTERNAL_SAMPLE/0000006.png,origin_clean,clean,0,1,0,2.483020067214966,10.365365982055664,-7.882346153259277,0.00037592905573546886,0.9962431192398071
7,7,EXTERNAL_SAMPLE/0000007.png,origin_clean,clean,0,1,0,4.431122303009033,9.828991889953613,-5.39786958694458,0.004482717718929052,0.9903903007507324
8,8,EXTERNAL_SAMPLE/0000008.png,origin_clean,clean,0,1,0,4.96087121963501,12.74002456665039,-7.779153347015381,0.0004181229742243886,0.9994186162948608
9,9,EXTERNAL_SAMPLE/0000009.png,origin_clean,clean,0,1,0,1.8994252681732178,10.464152336120605,-8.564726829528809,0.00019041493942495435,0.9984230995178223
10,10,EXTERNAL_SAMPLE/0000010.png,origin_clean,clean,0,1,0,3.2312357425689697,6.7929182052612305,-3.5616824626922607,0.023505428805947304,0.8279178142547607
11,11,EXTERNAL_SAMPLE/0000011.png,origin_clean,clean,0,1,1,7.900365829467773,5.405233383178711,2.4951324462890625,0.866075873374939,0.07143872231245041
12,12,EXTERNAL_SAMPLE/0000012.png,origin_clean,clean,0,1,3,3.009458065032959,4.872461795806885,-1.8630037307739258,0.058167051523923874,0.37477388978004456
13,13,EXTERNAL_SAMPLE/0000013.png,origin_clean,clean,0,1,0,3.2752301692962646,9.279202461242676,-6.003972053527832,0.002411085646599531,0.9765726923942566
14,14,EXTERNAL_SAMPLE/0000014.png,origin_clean,clean,0,1,0,3.099834680557251,18.58733558654785,-15.48750114440918,1.8787262945352268e-07,0.9999995231628418
15,15,EXTERNAL_SAMPLE/0000015.png,origin_clean,clean,0,1,0,1.7315549850463867,14.501280784606934,-12.769725799560547,2.8453555387386587e-06,0.9999032020568848
16,16,EXTERNAL_SAMPLE/0000016.png,origin_clean,clean,0,1,3,1.286521553993225,1.8494467735290527,-0.5629252195358276,0.022636696696281433,0.03974554315209389
17,17,EXTERNAL_SAMPLE/0000017.png,origin_clean,clean,0,1,0,3.447887897491455,12.928068161010742,-9.480180740356445,7.629931496921927e-05,0.9993342757225037
18,18,EXTERNAL_SAMPLE/0000018.png,origin_clean,clean,0,1,0,2.6843130588531494,11.247965812683105,-8.563652992248535,0.00019070898997597396,0.9988917708396912
19,19,EXTERNAL_SAMPLE/0000019.png,origin_clean,clean,0,1,0,3.5788207054138184,9.130682945251465,-5.5518622398376465,0.003778164042159915,0.9736972451210022
20,20,EXTERNAL_SAMPLE/0000020.png,origin_clean,clean,0,1,0,1.69754958152771,16.007238388061523,-14.309688568115234,6.100681844145583e-07,0.9999934434890747
21,21,EXTERNAL_SAMPLE/0000021.png,origin_clean,clean,0,1,6,1.2944598197937012,2.6393823623657227,-1.3449225425720215,0.0036338360514491796,0.013946261256933212
22,22,EXTERNAL_SAMPLE/0000022.png,origin_clean,clean,0,1,0,1.9334368705749512,9.306767463684082,-7.373330593109131,0.0006195101886987686,0.9868365526199341
23,23,EXTERNAL_SAMPLE/0000023.png,origin_clean,clean,0,1,0,1.819641351699829,10.603435516357422,-8.783794403076172,0.00015139742754399776,0.9882616400718689
24,24,EXTERNAL_SAMPLE/0000024.png,origin_clean,clean,0,1,0,3.0233020782470703,9.190145492553711,-6.166843414306641,0.0020576706156134605,0.9808484315872192
25,25,EXTERNAL_SAMPLE/0000025.png,origin_clean,clean,0,1,0,2.537499189376831,18.570457458496094,-16.032958984375,1.0888652468565851e-07,0.9999994039535522
26,26,EXTERNAL_SAMPLE/0000026.png,origin_clean,clean,0,1,0,4.013566017150879,9.127291679382324,-5.113725662231445,0.005785374436527491,0.9620425701141357
27,27,EXTERNAL_SAMPLE/0000027.png,origin_clean,clean,0,1,0,1.6904335021972656,15.558371543884277,-13.867938041687012,9.48897877606214e-07,0.9999734163284302
28,28,EXTERNAL_SAMPLE/0000028.png,origin_clean,clean,0,1,0,2.238863945007324,12.042984962463379,-9.804121017456055,5.519154728972353e-05,0.9994205236434937
29,29,EXTERNAL_SAMPLE/0000029.png,origin_clean,clean,0,1,0,2.404477119445801,13.36780834197998,-10.96333122253418,1.732246710162144e-05,0.9998250603675842
30,30,EXTERNAL_SAMPLE/0000030.png,origin_clean,clean,0,1,0,2.382408857345581,17.698495864868164,-15.316086769104004,2.2300135071873228e-07,0.9999988079071045
31,31,EXTERNAL_SAMPLE/0000031.png,origin_clean,clean,0,1,0,6.037671089172363,13.63952922821045,-7.601858139038086,0.0004992367466911674,0.9994282126426697
32,32,EXTERNAL_SAMPLE/0000032.png,origin_clean,clean,0,1,0,2.039668321609497,13.652955055236816,-11.613286972045898,9.044310900208075e-06,0.9999122619628906
33,33,EXTERNAL_SAMPLE/0000033.png,origin_clean,clean,0,1,0,1.961421012878418,11.334258079528809,-9.37283706665039,8.490296022500843e-05,0.9988362193107605
34,34,EXTERNAL_SAMPLE/0000034.png,origin_clean,clean,0,1,0,1.37320876121521,6.521196365356445,-5.147987365722656,0.003957496955990791,0.6810250878334045
35,35,EXTERNAL_SAMPLE/0000035.png,origin_clean,clean,0,1,0,3.158233642578125,10.105147361755371,-6.946913719177246,0.0009530661627650261,0.991127073764801
36,36,EXTERNAL_SAMPLE/0000036.png,origin_clean,clean,0,1,0,1.5501669645309448,16.191118240356445,-14.640951156616211,4.380390521419031e-07,0.9999934434890747
37,37,EXTERNAL_SAMPLE/0000037.png,origin_clean,clean,0,1,0,1.893989086151123,6.4449462890625,-4.550957202911377,0.008734204806387424,0.8273303508758545
38,38,EXTERNAL_SAMPLE/0000038.png,origin_clean,clean,0,1,0,1.2050474882125854,12.187935829162598,-10.982888221740723,1.6984768080874346e-05,0.9996947050094604
39,39,EXTERNAL_SAMPLE/0000039.png,origin_clean,clean,0,1,0,4.746974468231201,14.384644508361816,-9.637670516967773,6.521632894873619e-05,0.9998698234558105
40,40,EXTERNAL_SAMPLE/0000040.png,origin_clean,clean,0,1,0,1.7712560892105103,9.430349349975586,-7.659093379974365,0.00046923081390559673,0.9946916699409485
41,41,EXTERNAL_SAMPLE/0000041.png,origin_clean,clean,0,1,0,6.088731288909912,15.224308013916016,-9.135576248168945,0.00010775044211186469,0.9998835325241089
42,42,EXTERNAL_SAMPLE/0000042.png,origin_clean,clean,0,1,0,2.731513738632202,17.35672950744629,-14.625215530395508,4.449882169410557e-07,0.9999974966049194
43,43,EXTERNAL_SAMPLE/0000043.png,origin_clean,clean,0,1,0,4.493727684020996,10.554306983947754,-6.060579299926758,0.002320543397217989,0.9946398138999939
44,44,EXTERNAL_SAMPLE/0000044.png,origin_clean,clean,0,1,0,2.1336731910705566,10.302239418029785,-8.16856575012207,0.00028249825118109584,0.9967329502105713
45,45,EXTERNAL_SAMPLE/0000045.png,origin_clean,clean,0,1,0,3.7812106609344482,10.865757942199707,-7.08454704284668,0.0008317482424899936,0.9925938248634338
46,46,EXTERNAL_SAMPLE/0000046.png,origin_clean,clean,0,1,0,1.5305975675582886,18.25212287902832,-16.721525192260742,5.469323838269702e-08,0.9999994039535522
47,47,EXTERNAL_SAMPLE/0000047.png,origin_clean,clean,0,1,0,2.903116226196289,5.229319095611572,-2.326202869415283,0.06435081362724304,0.6588873267173767
48,48,EXTERNAL_SAMPLE/0000048.png,origin_clean,clean,0,1,0,1.952758550643921,12.55470085144043,-10.60194206237793,2.4861494239303283e-05,0.9997517466545105
49,49,EXTERNAL_SAMPLE/0000049.png,origin_clean,clean,0,1,0,1.6342780590057373,7.4274139404296875,-5.793135643005371,0.00270394841209054,0.8870033621788025
50,50,EXTERNAL_SAMPLE/0000050.png,origin_clean,clean,0,1,0,2.4189658164978027,12.39940357208252,-9.980438232421875,4.6283439587568864e-05,0.9997119307518005
51,51,EXTERNAL_SAMPLE/0000051.png,origin_clean,clean,0,1,0,1.8418831825256348,6.922676086425781,-5.0807929039001465,0.005807140842080116,0.9343781471252441
52,52,EXTERNAL_SAMPLE/0000052.png,origin_clean,clean,0,1,0,1.7328966856002808,11.514504432678223,-9.781607627868652,5.6450171541655436e-05,0.9994555115699768
53,53,EXTERNAL_SAMPLE/0000053.png,origin_clean,clean,0,1,0,2.0131995677948,7.563154220581055,-5.549954414367676,0.003730455646291375,0.9595695734024048
54,54,EXTERNAL_SAMPLE/0000054.png,origin_clean,clean,0,1,0,1.2684413194656372,11.969752311706543,-10.701311111450195,2.2505402739625424e-05,0.9995560050010681
55,55,EXTERNAL_SAMPLE/0000055.png,origin_clean,clean,0,1,0,1.548967719078064,17.463956832885742,-15.914989471435547,1.22520134482329e-07,0.999998927116394
56,56,EXTERNAL_SAMPLE/0000056.png,origin_clean,clean,0,1,0,3.2313380241394043,5.6619110107421875,-2.430572986602783,0.059258341789245605,0.673494279384613
57,57,EXTERNAL_SAMPLE/0000057.png,origin_clean,clean,0,1,0,5.306013107299805,8.130980491638184,-2.824967384338379,0.05324123427271843,0.8976683020591736
58,58,EXTERNAL_SAMPLE/0000058.png,origin_clean,clean,0,1,0,2.2749600410461426,8.812971115112305,-6.538011074066162,0.0014049275778234005,0.9706798791885376
59,59,EXTERNAL_SAMPLE/0000059.png,origin_clean,clean,0,1,0,2.682051181793213,7.038084030151367,-4.356032848358154,0.012128950096666813,0.9454188942909241
60,60,EXTERNAL_SAMPLE/0000060.png,origin_clean,clean,0,1,0,2.418151617050171,8.29817008972168,-5.88001823425293,0.002488538157194853,0.8904381990432739
61,61,EXTERNAL_SAMPLE/0000061.png,origin_clean,clean,0,1,0,2.836099624633789,9.129854202270508,-6.293754577636719,0.0018201825441792607,0.9850489497184753
62,62,EXTERNAL_SAMPLE/0000062.png,origin_clean,clean,0,1,0,1.4397027492523193,14.468144416809082,-13.028441429138184,2.196906962126377e-06,0.9999814033508301
63,63,EXTERNAL_SAMPLE/0000063.png,origin_clean,clean,0,1,0,3.5172736644744873,7.812878131866455,-4.295604705810547,0.01249346137046814,0.9167273640632629
64,64,EXTERNAL_SAMPLE/0000064.png,origin_clean,clean,0,1,0,1.7119325399398804,13.179627418518066,-11.467695236206055,1.0461249985382892e-05,0.9998626708984375
65,65,EXTERNAL_SAMPLE/0000065.png,origin_clean,clean,0,1,0,3.887421131134033,13.421963691711426,-9.534542083740234,7.230003393488005e-05,0.9998561143875122
66,66,EXTERNAL_SAMPLE/0000066.png,origin_clean,clean,0,1,0,2.659651041030884,8.329617500305176,-5.669966697692871,0.0033702380023896694,0.9774528741836548
67,67,EXTERNAL_SAMPLE/0000067.png,origin_clean,clean,0,1,0,5.118612289428711,6.035155773162842,-0.9165434837341309,0.21414102613925934,0.5354878902435303
68,68,EXTERNAL_SAMPLE/0000068.png,origin_clean,clean,0,1,0,2.5295348167419434,14.752277374267578,-12.222742080688477,4.91717992190388e-06,0.9999666213989258
69,69,EXTERNAL_SAMPLE/0000069.png,origin_clean,clean,0,1,0,1.4839304685592651,11.72480583190918,-10.240875244140625,3.565940278349444e-05,0.9993777275085449
70,70,EXTERNAL_SAMPLE/0000070.png,origin_clean,clean,0,1,0,5.428415298461914,11.686062812805176,-6.257647514343262,0.0019110459834337234,0.9975460171699524
71,71,EXTERNAL_SAMPLE/0000071.png,origin_clean,clean,0,1,3,4.041046142578125,5.520639419555664,-1.479593276977539,0.044660426676273346,0.1961110532283783
72,72,EXTERNAL_SAMPLE/0000072.png,origin_clean,clean,0,1,0,1.7989230155944824,12.421786308288574,-10.62286376953125,2.4347669750568457e-05,0.9997894167900085
73,73,EXTERNAL_SAMPLE/0000073.png,origin_clean,clean,0,1,0,1.7737348079681396,13.8085298538208,-12.034794807434082,5.93376216784236e-06,0.9999426603317261
74,74,EXTERNAL_SAMPLE/0000074.png,origin_clean,clean,0,1,0,2.593780755996704,8.525717735290527,-5.931937217712402,0.0023714245762676,0.8937518000602722
75,75,EXTERNAL_SAMPLE/0000075.png,origin_clean,clean,0,1,0,1.5536823272705078,11.414531707763672,-9.860849380493164,5.21453439432662e-05,0.9993739724159241
76,76,EXTERNAL_SAMPLE/0000076.png,origin_clean,clean,0,1,0,2.246232509613037,19.630352020263672,-17.384119033813477,2.8195051626767054e-08,0.9999997615814209
77,77,EXTERNAL_SAMPLE/0000077.png,origin_clean,clean,0,1,0,2.9977402687072754,18.476892471313477,-15.47915267944336,1.8944764690331795e-07,0.9999995231628418
78,78,EXTERNAL_SAMPLE/0000078.png,origin_clean,clean,0,1,0,1.3827183246612549,12.521536827087402,-11.138818740844727,1.45289068314014e-05,0.9994485974311829
79,79,EXTERNAL_SAMPLE/0000079.png,origin_clean,clean,0,1,0,2.755274534225464,23.213850021362305,-20.458576202392578,1.303026464505308e-09,1.0
80,80,EXTERNAL_SAMPLE/0000080.png,origin_clean,clean,0,1,0,3.9111194610595703,9.890439987182617,-5.979320526123047,0.002490097191184759,0.9840160608291626
81,81,EXTERNAL_SAMPLE/0000081.png,origin_clean,clean,0,1,0,2.621004819869995,12.196148872375488,-9.575143814086914,6.940612365724519e-05,0.9996084570884705
82,82,EXTERNAL_SAMPLE/0000082.png,origin_clean,clean,0,1,0,4.412205219268799,10.448541641235352,-6.036336421966553,0.0023665493354201317,0.9900637269020081
83,83,EXTERNAL_SAMPLE/0000083.png,origin_clean,clean,0,1,0,1.5625898838043213,15.273377418518066,-13.710787773132324,1.1103900305897696e-06,0.9999885559082031
84,84,EXTERNAL_SAMPLE/0000084.png,origin_clean,clean,0,1,0,3.4009063243865967,13.661666870117188,-10.260760307312012,3.497462239465676e-05,0.9998724460601807
85,85,EXTERNAL_SAMPLE/0000085.png,origin_clean,clean,0,1,0,2.3893017768859863,17.209720611572266,-14.820419311523438,3.660771312752331e-07,0.9999974966049194
86,86,EXTERNAL_SAMPLE/0000086.png,origin_clean,clean,0,1,0,1.642195463180542,10.980997085571289,-9.338801383972168,8.779763447819278e-05,0.9983267188072205
87,87,EXTERNAL_SAMPLE/0000087.png,origin_clean,clean,0,1,0,2.2274632453918457,9.707889556884766,-7.48042631149292,0.000562139437533915,0.9966712594032288
88,88,EXTERNAL_SAMPLE/0000088.png,origin_clean,clean,0,1,0,1.0048213005065918,15.549859046936035,-14.545038223266602,4.821271772925684e-07,0.9999803304672241
89,89,EXTERNAL_SAMPLE/0000089.png,origin_clean,clean,0,1,0,5.105974197387695,11.345480918884277,-6.239506721496582,0.001944869407452643,0.9969508647918701
90,90,EXTERNAL_SAMPLE/0000090.png,origin_clean,clean,0,1,0,3.7414627075195312,6.157620429992676,-2.4161577224731445,0.07456233352422714,0.8353018164634705
91,91,EXTERNAL_SAMPLE/0000091.png,origin_clean,clean,0,1,0,4.603840351104736,11.495847702026367,-6.892007350921631,0.00101287174038589,0.9970460534095764
92,92,EXTERNAL_SAMPLE/0000092.png,origin_clean,clean,0,1,0,2.243185520172119,4.3986921310424805,-2.1555066108703613,0.05359567329287529,0.46265190839767456
93,93,EXTERNAL_SAMPLE/0000093.png,origin_clean,clean,0,1,0,2.515319585800171,13.643794059753418,-11.128474235534668,1.4687276234326418e-05,0.9999452829360962
94,94,EXTERNAL_SAMPLE/0000094.png,origin_clean,clean,0,1,0,3.4282453060150146,4.184628486633301,-0.7563831806182861,0.16204103827476501,0.3452375829219818
95,95,EXTERNAL_SAMPLE/0000095.png,origin_clean,clean,0,1,5,2.1749267578125,4.13001823425293,-1.9550914764404297,0.02263716608285904,0.15992175042629242
