sample_index,original_index,source_path,setting,domain,true_label,target_class,predicted_label,target_logit,true_class_logit,target_margin,target_probability,true_class_probability
0,0,EXTERNAL_SAMPLE/0000000.png,origin_clean,clean,0,1,0,1.389026403427124,8.701946258544922,-7.312919616699219,0.0006638680933974683,0.9955026507377625
1,1,EXTERNAL_SAMPLE/0000001.png,origin_clean,clean,0,1,0,0.22403159737586975,9.945192337036133,-9.721160888671875,5.9888436226174235e-05,0.9981354475021362
2,2,EXTERNAL_SAMPLE/0000002.png,origin_clean,clean,0,1,0,0.4380013048648834,15.13302230834961,-14.69502067565918,4.149846404288837e-07,0.9999963045120239
3,3,EXTERNAL_SAMPLE/0000003.png,origin_clean,clean,0,1,0,1.0527245998382568,14.404680252075195,-13.35195541381836,1.5896918057478615e-06,0.9999849796295166
4,4,EXTERNAL_SAMPLE/0000004.png,origin_clean,clean,0,1,0,0.8602613806724548,5.809499740600586,-4.949238300323486,0.003901099320501089,0.5503182411193848
5,5,EXTERNAL_SAMPLE/0000005.png,origin_clean,clean,0,1,0,2.344543695449829,12.579063415527344,-10.234519958496094,3.590651976992376e-05,0.9999282360076904
6,6,EXTERNAL_SAMPLE/0000006.png,origin_clean,clean,0,1,0,2.5690417289733887,6.554112434387207,-3.9850707054138184,0.017521940171718597,0.9424892663955688
7,7,EXTERNAL_SAMPLE/0000007.png,origin_clean,clean,0,1,0,1.6154978275299072,9.996438980102539,-8.380941390991211,0.00022855873976368457,0.9972279667854309
8,8,EXTERNAL_SAMPLE/0000008.png,origin_clean,clean,0,1,0,3.993880271911621,10.698923110961914,-6.705042839050293,0.0012228142004460096,0.9984436631202698
9,9,EXTERNAL_SAMPLE/0000009.png,origin_clean,clean,0,1,0,1.4515373706817627,10.444428443908691,-8.992891311645508,0.00012422596046235412,0.9994831085205078
10,10,EXTERNAL_SAMPLE/0000010.png,origin_clean,clean,0,1,0,2.334341287612915,9.352572441101074,-7.018231391906738,0.0008931314223445952,0.9974578022956848
11,11,EXTERNAL_SAMPLE/0000011.png,origin_clean,clean,0,1,1,4.636077880859375,3.6829090118408203,0.9531688690185547,0.6162276268005371,0.2375665009021759
12,12,EXTERNAL_SAMPLE/0000012.png,origin_clean,clean,0,1,0,0.4903298616409302,9.162882804870605,-8.672553062438965,0.00017047874280251563,0.9956626296043396
13,13,EXTERNAL_SAMPLE/0000013.png,origin_clean,clean,0,1,0,1.8823802471160889,6.93661642074585,-5.05423641204834,0.006192426197230816,0.9702593088150024
14,14,EXTERNAL_SAMPLE/0000014.png,origin_clean,clean,0,1,0,1.5353147983551025,12.488655090332031,-10.953340530395508,1.749818147800397e-05,0.9999269247055054
15,15,EXTERNAL_SAMPLE/0000015.png,origin_clean,clean,0,1,0,1.0900309085845947,8.02375316619873,-6.933722496032715,0.0009479590225964785,0.9728972315788269
16,16,EXTERNAL_SAMPLE/0000016.png,origin_clean,clean,0,1,7,0.5132979154586792,0.40743952989578247,0.10585838556289673,0.03231380507349968,0.02906794473528862
17,17,EXTERNAL_SAMPLE/0000017.png,origin_clean,clean,0,1,0,2.671107769012451,7.896130561828613,-5.225022792816162,0.005294646602123976,0.9840916991233826
18,18,EXTERNAL_SAMPLE/0000018.png,origin_clean,clean,0,1,0,0.5996631383895874,10.5396728515625,-9.940010070800781,4.816538421437144e-05,0.9991403818130493
19,19,EXTERNAL_SAMPLE/0000019.png,origin_clean,clean,0,1,0,1.5484473705291748,7.032201766967773,-5.4837541580200195,0.003993709105998278,0.9614806175231934
20,20,EXTERNAL_SAMPLE/0000020.png,origin_clean,clean,0,1,0,-0.23433199524879456,14.043499946594238,-14.27783203125,6.298055836850835e-07,0.9999773502349854
21,21,EXTERNAL_SAMPLE/0000021.png,origin_clean,clean,0,1,5,1.4582922458648682,2.109786033630371,-0.6514937877655029,0.04185156524181366,0.08028823137283325
22,22,EXTERNAL_SAMPLE/0000022.png,origin_clean,clean,0,1,0,3.0281898975372314,8.512621879577637,-5.484432220458984,0.004117160104215145,0.9918736815452576
23,23,EXTERNAL_SAMPLE/0000023.png,origin_clean,clean,0,1,0,1.1799015998840332,10.452095985412598,-9.272193908691406,9.393924119649455e-05,0.9993317723274231
24,24,EXTERNAL_SAMPLE/0000024.png,origin_clean,clean,0,1,0,2.068920135498047,5.631005764007568,-3.5620856285095215,0.024013152346014977,0.8461421132087708
25,25,EXTERNAL_SAMPLE/0000025.png,origin_clean,clean,0,1,0,-0.0555897057056427,15.480733871459961,-15.536323547363281,1.789197767720907e-07,0.999995231628418
26,26,EXTERNAL_SAMPLE/0000026.png,origin_clean,clean,0,1,0,2.685256004333496,5.312065601348877,-2.626809597015381,0.04447372630238533,0.6150528788566589
27,27,EXTERNAL_SAMPLE/0000027.png,origin_clean,clean,0,1,0,0.06953498721122742,13.341971397399902,-13.272436141967773,1.7212248621945037e-06,0.9999617338180542
28,28,EXTERNAL_SAMPLE/0000028.png,origin_clean,clean,0,1,0,0.5745635032653809,8.242355346679688,-7.667791843414307,0.0004646564775612205,0.9936002492904663
29,29,EXTERNAL_SAMPLE/0000029.png,origin_clean,clean,0,1,0,0.7077248692512512,8.848740577697754,-8.141016006469727,0.0002903062559198588,0.9964481592178345
30,30,EXTERNAL_SAMPLE/0000030.png,origin_clean,clean,0,1,0,0.5198122262954712,16.67350196838379,-16.153690338134766,9.650306509456641e-08,0.9999991655349731
31,31,EXTERNAL_SAMPLE/0000031.png,origin_clean,clean,0,1,0,1.9460279941558838,7.711733341217041,-5.765705108642578,0.0030887327156960964,0.9858123064041138
32,32,EXTERNAL_SAMPLE/0000032.png,origin_clean,clean,0,1,0,3.1259498596191406,10.938372611999512,-7.812422752380371,0.0004042812215629965,0.9990234375
33,33,EXTERNAL_SAMPLE/0000033.png,origin_clean,clean,0,1,0,1.4296329021453857,11.142271041870117,-9.712637901306152,6.0493170167319477e-05,0.9996578693389893
34,34,EXTERNAL_SAMPLE/0000034.png,origin_clean,clean,0,1,0,0.10670354962348938,6.695187091827393,-6.5884833335876465,0.0009309633751399815,0.6765105128288269
35,35,EXTERNAL_SAMPLE/0000035.png,origin_clean,clean,0,1,0,1.8591651916503906,8.632685661315918,-6.773520469665527,0.0011377582559362054,0.9948384165763855
36,36,EXTERNAL_SAMPLE/0000036.png,origin_clean,clean,0,1,0,-0.7304809093475342,11.421706199645996,-12.15218734741211,5.275179773889249e-06,0.9996896982192993
