sample_index,original_index,source_path,setting,domain,true_label,target_class,predicted_label,target_logit,true_class_logit,target_margin,target_probability,true_class_probability
0,0,EXTERNAL_SAMPLE/0000000.png,origin_clean,clean,0,1,0,3.023228645324707,8.562295913696289,-5.539067268371582,0.0038922384846955538,0.9903433322906494
1,1,EXTERNAL_SAMPLE/0000001.png,origin_clean,clean,0,1,0,1.2448821067810059,8.854632377624512,-7.609750270843506,0.0004922539810650051,0.9932572841644287
2,2,EXTERNAL_SAMPLE/0000002.png,origin_clean,clean,0,1,0,-0.32722342014312744,13.416193008422852,-13.743416786193848,1.0746938414740725e-06,0.9999420642852783
3,3,EXTERNAL_SAMPLE/0000003.png,origin_clean,clean,0,1,0,0.35415118932724,18.42759132385254,-18.073440551757812,1.4151559923902823e-08,0.9999996423721313
4,4,EXTERNAL_SAMPLE/0000004.png,origin_clean,clean,0,1,5,1.0766355991363525,4.208779811859131,-3.1321442127227783,0.010308478958904743,0.236301988363266
5,5,EXTERNAL_SAMPLE/0000005.png,origin_clean,clean,0,1,0,4.7583513259887695,8.946219444274902,-4.187868118286133,0.014918474480509758,0.9828617572784424
6,6,EXTERNAL_SAMPLE/0000006.png,origin_clean,clean,0,1,0,1.60968017578125,7.216304779052734,-5.606624603271484,0.003563353093340993,0.9700295329093933
7,7,EXTERNAL_SAMPLE/0000007.png,origin_clean,clean,0,1,0,2.3569467067718506,8.637720108032227,-6.280773162841797,0.0018249723361805081,0.9749029278755188
8,8,EXTERNAL_SAMPLE/0000008.png,origin_clean,clean,0,1,0,4.579617977142334,9.619527816772461,-5.039909839630127,0.006398308090865612,0.9882575869560242
9,9,EXTERNAL_SAMPLE/0000009.png,origin_clean,clean,0,1,0,1.4420239925384521,11.246858596801758,-9.804834365844727,5.5161632189992815e-05,0.9995915293693542
10,10,EXTERNAL_SAMPLE/0000010.png,origin_clean,clean,0,1,0,2.1005561351776123,7.194703102111816,-5.094146728515625,0.005762152373790741,0.9396033883094788
11,11,EXTERNAL_SAMPLE/0000011.png,origin_clean,clean,0,1,0,4.5271430015563965,4.613282203674316,-0.08613920211791992,0.4155232310295105,0.4529028534889221
12,12,EXTERNAL_SAMPLE/0000012.png,origin_clean,clean,0,1,0,2.178786277770996,6.663060188293457,-4.484273910522461,0.010403286665678024,0.9218621253967285
13,13,EXTERNAL_SAMPLE/0000013.png,origin_clean,clean,0,1,0,3.656783103942871,8.079544067382812,-4.422760963439941,0.011792195960879326,0.9825968146324158
14,14,EXTERNAL_SAMPLE/0000014.png,origin_clean,clean,0,1,0,1.0657931566238403,18.68882942199707,-17.623035430908203,2.2203064276027362e-08,0.9999998807907104
15,15,EXTERNAL_SAMPLE/0000015.png,origin_clean,clean,0,1,0,0.6143723726272583,8.800249099731445,-8.185876846313477,0.0002729876432567835,0.9799956679344177
16,16,EXTERNAL_SAMPLE/0000016.png,origin_clean,clean,0,1,0,0.8747606873512268,3.521519184112549,-2.646758556365967,0.025009317323565483,0.3528372645378113
17,17,EXTERNAL_SAMPLE/0000017.png,origin_clean,clean,0,1,0,1.410346508026123,8.321006774902344,-6.910660266876221,0.000982953468337655,0.9858130812644958
18,18,EXTERNAL_SAMPLE/0000018.png,origin_clean,clean,0,1,0,1.2804648876190186,11.464757919311523,-10.184292793273926,3.7741298001492396e-05,0.9995372295379639
19,19,EXTERNAL_SAMPLE/0000019.png,origin_clean,clean,0,1,0,1.9307106733322144,6.934178352355957,-5.003467559814453,0.006271073594689369,0.9339426755905151
20,20,EXTERNAL_SAMPLE/0000020.png,origin_clean,clean,0,1,0,0.27244582772254944,15.113986015319824,-14.841540336608887,3.5842523971041373e-07,0.9999946355819702
21,21,EXTERNAL_SAMPLE/0000021.png,origin_clean,clean,0,1,3,1.7731528282165527,3.190420627593994,-1.4172677993774414,0.05123499408364296,0.2113870084285736
22,22,EXTERNAL_SAMPLE/0000022.png,origin_clean,clean,0,1,0,0.09000923484563828,7.1161346435546875,-7.026125431060791,0.0008620098815299571,0.9703307151794434
23,23,EXTERNAL_SAMPLE/0000023.png,origin_clean,clean,0,1,0,1.6305391788482666,12.145026206970215,-10.514487266540527,2.713636786211282e-05,0.9998514652252197
24,24,EXTERNAL_SAMPLE/0000024.png,origin_clean,clean,0,1,0,1.1737040281295776,8.797528266906738,-7.623824119567871,0.0004813607665710151,0.9850436449050903
25,25,EXTERNAL_SAMPLE/0000025.png,origin_clean,clean,0,1,0,0.4685835838317871,12.607364654541016,-12.13878059387207,5.347082606022013e-06,0.9998212456703186
26,26,EXTERNAL_SAMPLE/0000026.png,origin_clean,clean,0,1,3,1.9002246856689453,2.9116339683532715,-1.0114092826843262,0.06326160579919815,0.17393606901168823
27,27,EXTERNAL_SAMPLE/0000027.png,origin_clean,clean,0,1,0,0.5403218865394592,10.434741973876953,-9.89441967010498,5.0390710384817794e-05,0.9987167119979858
28,28,EXTERNAL_SAMPLE/0000028.png,origin_clean,clean,0,1,0,1.1731822490692139,12.845267295837402,-11.67208480834961,8.52801440487383e-06,0.999930739402771
29,29,EXTERNAL_SAMPLE/0000029.png,origin_clean,clean,0,1,0,0.00247250497341156,10.5552396774292,-10.552766799926758,2.607910573715344e-05,0.9983919262886047
30,30,EXTERNAL_SAMPLE/0000030.png,origin_clean,clean,0,1,0,1.2307024002075195,16.998048782348633,-15.767346382141113,1.4201302178662445e-07,0.9999992847442627
31,31,EXTERNAL_SAMPLE/0000031.png,origin_clean,clean,0,1,0,1.8807685375213623,9.172309875488281,-7.29154109954834,0.0006781683187000453,0.9954364895820618
32,32,EXTERNAL_SAMPLE/0000032.png,origin_clean,clean,0,1,0,2.1062512397766113,8.143814086914062,-6.037562847137451,0.0023501678369939327,0.9844170212745667
33,33,EXTERNAL_SAMPLE/0000033.png,origin_clean,clean,0,1,0,0.519912600517273,9.229496002197266,-8.709583282470703,0.00016459562175441533,0.9975674152374268
34,34,EXTERNAL_SAMPLE/0000034.png,origin_clean,clean,0,1,2,-0.7096035480499268,5.228323459625244,-5.93792724609375,0.0007130614249035716,0.2703559696674347
35,35,EXTERNAL_SAMPLE/0000035.png,origin_clean,clean,0,1,0,2.822577476501465,9.329940795898438,-6.507363319396973,0.0014872376341372728,0.9965344667434692
36,36,EXTERNAL_SAMPLE/0000036.png,origin_clean,clean,0,1,0,0.03492332249879837,12.645949363708496,-12.6110258102417,3.3348517263220856e-06,0.9999434947967529
37,37,EXTERNAL_SAMPLE/0000037.png,origin_clean,clean,0,1,0,1.5818054676055908,5.107411861419678,-3.525606393814087,0.018498314544558525,0.6284685730934143
38,38,EXTERNAL_SAMPLE/0000038.png,origin_clean,clean,0,1,0,-0.39651286602020264,13.372791290283203,-13.769304275512695,1.0471927680555382e-06,0.9999067783355713
39,39,EXTERNAL_SAMPLE/0000039.png,origin_clean,clean,0,1,0,3.2699241638183594,13.843191146850586,-10.573266983032227,2.5590037694200873e-05,0.9999594688415527
40,40,EXTERNAL_SAMPLE/0000040.png,origin_clean,clean,0,1,0,1.8042151927947998,10.176067352294922,-8.371851921081543,0.0002310537820449099,0.998992383480072
41,41,EXTERNAL_SAMPLE/0000041.png,origin_clean,clean,0,1,0,5.342179298400879,13.278380393981934,-7.936201095581055,0.00035742533509619534,0.9996169805526733
42,42,EXTERNAL_SAMPLE/0000042.png,origin_clean,clean,0,1,0,3.239478588104248,18.274381637573242,-15.034902572631836,2.9540962032115203e-07,0.9999996423721313
