sample_index,layer,true_label,feature_shift_poison_to_restored_poison,cosine_poison_to_restored_poison,dist_restored_poison_to_clean_centroid,dist_poison_to_clean_centroid,dist_restored_poison_to_target_centroid,dist_poison_to_target_centroid,dist_restored_clean_to_clean_centroid
0,layer1,0,368.78515625,0.8532845973968506,320.1163635253906,351.1259460449219,320.1163635253906,351.1259460449219,354.1518249511719
1,layer1,0,378.0489196777344,0.8446267247200012,319.80126953125,339.631591796875,319.80126953125,339.631591796875,356.8638000488281
2,layer1,0,267.15277099609375,0.9104493856430054,340.230224609375,287.57757568359375,340.230224609375,287.57757568359375,344.53704833984375
3,layer1,0,299.77410888671875,0.8948704600334167,328.37237548828125,301.52874755859375,328.37237548828125,301.52874755859375,348.7528991699219
4,layer1,0,423.3027648925781,0.8157336115837097,357.98345947265625,410.61376953125,357.98345947265625,410.61376953125,394.1182861328125
5,layer1,0,412.1468811035156,0.8338868021965027,462.46295166015625,444.7858581542969,462.46295166015625,444.7858581542969,532.1937866210938
6,layer1,0,298.3522033691406,0.8979460000991821,369.3738098144531,343.2200012207031,369.3738098144531,343.2200012207031,389.6980285644531
7,layer1,0,335.5924072265625,0.8781423568725586,383.6687927246094,373.5321350097656,383.6687927246094,373.5321350097656,408.8814392089844
8,layer1,0,345.8525085449219,0.8704440593719482,326.8621520996094,332.57379150390625,326.8621520996094,332.57379150390625,349.5904235839844
9,layer1,0,354.0865478515625,0.854538083076477,366.3921203613281,355.2405700683594,366.3921203613281,355.2405700683594,379.5094909667969
10,layer1,0,331.7109680175781,0.8916054368019104,352.5827941894531,354.3202209472656,352.5827941894531,354.3202209472656,369.74798583984375
11,layer1,0,286.9651794433594,0.9071991443634033,311.4112548828125,307.7782897949219,311.4112548828125,307.7782897949219,323.1990966796875
12,layer1,0,426.1452331542969,0.8299962878227234,322.9955139160156,417.7108154296875,322.9955139160156,417.7108154296875,365.5411682128906
13,layer1,0,300.3067321777344,0.9032318592071533,338.765625,303.611328125,338.765625,303.611328125,333.7146301269531
14,layer1,0,330.2191467285156,0.8840628266334534,337.4236145019531,334.84588623046875,337.4236145019531,334.84588623046875,360.6830749511719
15,layer1,0,410.2109375,0.8162779808044434,322.61590576171875,352.5697326660156,322.61590576171875,352.5697326660156,374.69061279296875
16,layer1,0,373.0531005859375,0.8510736227035522,362.15374755859375,344.1867370605469,362.15374755859375,344.1867370605469,371.3131408691406
17,layer1,0,375.2564392089844,0.8553555607795715,333.2751159667969,359.60400390625,333.2751159667969,359.60400390625,348.2428283691406
18,layer1,0,388.78668212890625,0.8306056261062622,353.6996765136719,366.380615234375,353.6996765136719,366.380615234375,377.39080810546875
19,layer1,0,317.3428955078125,0.8845922946929932,369.3902282714844,343.33013916015625,369.3902282714844,343.33013916015625,399.99737548828125
20,layer1,0,301.5763244628906,0.9007630348205566,374.26641845703125,316.37396240234375,374.26641845703125,316.37396240234375,364.0479736328125
21,layer1,0,375.2646789550781,0.8550571203231812,375.65264892578125,407.45098876953125,375.65264892578125,407.45098876953125,422.024658203125
22,layer1,0,328.0849609375,0.8767189979553223,367.1656494140625,364.7813415527344,367.1656494140625,364.7813415527344,383.6816711425781
23,layer1,0,398.1206970214844,0.8463649749755859,356.2054138183594,390.51220703125,356.2054138183594,390.51220703125,384.09332275390625
24,layer1,0,399.34942626953125,0.8377673625946045,357.44476318359375,393.94122314453125,357.44476318359375,393.94122314453125,409.9907531738281
25,layer1,0,368.26873779296875,0.8667524456977844,353.4024353027344,408.6364440917969,353.4024353027344,408.6364440917969,386.3085021972656
26,layer1,0,266.4223937988281,0.9098867774009705,336.89215087890625,300.8029479980469,336.89215087890625,300.8029479980469,353.97137451171875
27,layer1,0,291.2646789550781,0.9055532217025757,320.6002502441406,336.9380187988281,320.6002502441406,336.9380187988281,350.2481689453125
28,layer1,0,320.7745056152344,0.8765006065368652,329.82989501953125,309.4243469238281,329.82989501953125,309.4243469238281,357.2700500488281
29,layer1,0,363.794677734375,0.8459721803665161,366.5694885253906,335.7488098144531,366.5694885253906,335.7488098144531,406.4666442871094
30,layer1,0,348.1830139160156,0.8826978802680969,307.9682922363281,338.52471923828125,307.9682922363281,338.52471923828125,317.6079406738281
31,layer1,0,451.39593505859375,0.8022326231002808,425.1024475097656,436.0301818847656,425.1024475097656,436.0301818847656,451.4482421875
32,layer1,0,286.958251953125,0.9036841988563538,323.0108947753906,305.6490478515625,323.0108947753906,305.6490478515625,336.0821533203125
33,layer1,0,399.5909118652344,0.825542151927948,311.5641784667969,343.17767333984375,311.5641784667969,343.17767333984375,360.87823486328125
34,layer1,0,405.7219543457031,0.8600395321846008,417.7810363769531,450.05084228515625,417.7810363769531,450.05084228515625,467.38232421875
35,layer1,0,387.95880126953125,0.8396771550178528,365.0911560058594,372.6556396484375,365.0911560058594,372.6556396484375,396.5653991699219
36,layer1,0,318.70745849609375,0.8975733518600464,353.89068603515625,392.14971923828125,353.89068603515625,392.14971923828125,389.5740051269531
37,layer1,0,332.7579345703125,0.8935528993606567,315.5411376953125,348.14459228515625,315.5411376953125,348.14459228515625,332.00347900390625
38,layer1,0,295.4626770019531,0.9024022221565247,372.38818359375,344.5618896484375,372.38818359375,344.5618896484375,385.666015625
39,layer1,0,378.3053894042969,0.8566802144050598,317.9386291503906,350.12750244140625,317.9386291503906,350.12750244140625,342.6638488769531
40,layer1,0,207.33074951171875,0.945910632610321,314.5556640625,271.85821533203125,314.5556640625,271.85821533203125,321.9039001464844
41,layer1,0,390.4351501464844,0.8416348695755005,315.4978942871094,366.40130615234375,315.4978942871094,366.40130615234375,340.2430725097656
42,layer1,0,343.05889892578125,0.8689059019088745,297.28497314453125,308.9382019042969,297.28497314453125,308.9382019042969,322.97869873046875
43,layer1,0,328.8992919921875,0.8817625045776367,341.48541259765625,313.4751892089844,341.48541259765625,313.4751892089844,337.1053161621094
44,layer1,0,401.27227783203125,0.8309118747711182,349.52020263671875,396.5414733886719,349.52020263671875,396.5414733886719,380.7257995605469
