sample_index,original_index,source_path,setting,domain,true_label,target_class,predicted_label,target_logit,true_class_logit,target_margin,target_probability,true_class_probability
0,0,EXTERNAL_SAMPLE/0000000.png,origin_clean,clean,0,0,0,9.967269897460938,9.967269897460938,0.0,0.9979215264320374,0.9979215264320374
1,1,EXTERNAL_SAMPLE/0000001.png,origin_clean,clean,0,0,0,10.309907913208008,10.309907913208008,0.0,0.9985154271125793,0.9985154271125793
2,2,EXTERNAL_SAMPLE/0000002.png,origin_clean,clean,0,0,0,15.936830520629883,15.936830520629883,0.0,0.9999977350234985,0.9999977350234985
3,3,EXTERNAL_SAMPLE/0000003.png,origin_clean,clean,0,0,0,16.57366943359375,16.57366943359375,0.0,0.9999964237213135,0.9999964237213135
4,4,EXTERNAL_SAMPLE/0000004.png,origin_clean,clean,0,0,0,5.907479286193848,5.907479286193848,0.0,0.8560577034950256,0.8560577034950256
5,5,EXTERNAL_SAMPLE/0000005.png,origin_clean,clean,0,0,0,13.490315437316895,13.490315437316895,0.0,0.9999699592590332,0.9999699592590332
6,6,EXTERNAL_SAMPLE/0000006.png,origin_clean,clean,0,0,0,9.394902229309082,9.394902229309082,0.0,0.9940935969352722,0.9940935969352722
7,7,EXTERNAL_SAMPLE/0000007.png,origin_clean,clean,0,0,0,11.183951377868652,11.183951377868652,0.0,0.9992289543151855,0.9992289543151855
8,8,EXTERNAL_SAMPLE/0000008.png,origin_clean,clean,0,0,0,13.55263900756836,13.55263900756836,0.0,0.9999032020568848,0.9999032020568848
9,9,EXTERNAL_SAMPLE/0000009.png,origin_clean,clean,0,0,0,9.324652671813965,9.324652671813965,0.0,0.9973573088645935,0.9973573088645935
10,10,EXTERNAL_SAMPLE/0000010.png,origin_clean,clean,0,0,0,8.668035507202148,8.668035507202148,0.0,0.9874457120895386,0.9874457120895386
11,11,EXTERNAL_SAMPLE/0000011.png,origin_clean,clean,0,0,3,3.3278188705444336,3.3278188705444336,0.0,0.17254950106143951,0.17254950106143951
12,12,EXTERNAL_SAMPLE/0000012.png,origin_clean,clean,0,0,0,8.193971633911133,8.193971633911133,0.0,0.9838804602622986,0.9838804602622986
13,13,EXTERNAL_SAMPLE/0000013.png,origin_clean,clean,0,0,0,6.110947132110596,6.110947132110596,0.0,0.83856201171875,0.83856201171875
14,14,EXTERNAL_SAMPLE/0000014.png,origin_clean,clean,0,0,0,21.19634437561035,21.19634437561035,0.0,0.9999998807907104,0.9999998807907104
15,15,EXTERNAL_SAMPLE/0000015.png,origin_clean,clean,0,0,0,16.050506591796875,16.050506591796875,0.0,0.9999932050704956,0.9999932050704956
16,16,EXTERNAL_SAMPLE/0000016.png,origin_clean,clean,0,0,0,2.984611988067627,2.984611988067627,0.0,0.287151962518692,0.287151962518692
17,17,EXTERNAL_SAMPLE/0000017.png,origin_clean,clean,0,0,0,13.631616592407227,13.631616592407227,0.0,0.9999692440032959,0.9999692440032959
18,18,EXTERNAL_SAMPLE/0000018.png,origin_clean,clean,0,0,0,12.907182693481445,12.907182693481445,0.0,0.9998902082443237,0.9998902082443237
19,19,EXTERNAL_SAMPLE/0000019.png,origin_clean,clean,0,0,0,9.452192306518555,9.452192306518555,0.0,0.975033700466156,0.975033700466156
20,20,EXTERNAL_SAMPLE/0000020.png,origin_clean,clean,0,0,0,19.89515495300293,19.89515495300293,0.0,1.0,1.0
21,21,EXTERNAL_SAMPLE/0000021.png,origin_clean,clean,0,0,6,3.0744149684906006,3.0744149684906006,0.0,0.1707800328731537,0.1707800328731537
22,22,EXTERNAL_SAMPLE/0000022.png,origin_clean,clean,0,0,0,7.514560699462891,7.514560699462891,0.0,0.9592862129211426,0.9592862129211426
23,23,EXTERNAL_SAMPLE/0000023.png,origin_clean,clean,0,0,0,10.311925888061523,10.311925888061523,0.0,0.995083749294281,0.995083749294281
24,24,EXTERNAL_SAMPLE/0000024.png,origin_clean,clean,0,0,0,6.547316074371338,6.547316074371338,0.0,0.8169381022453308,0.8169381022453308
25,25,EXTERNAL_SAMPLE/0000025.png,origin_clean,clean,0,0,0,13.24700927734375,13.24700927734375,0.0,0.9997075200080872,0.9997075200080872
26,26,EXTERNAL_SAMPLE/0000026.png,origin_clean,clean,0,0,3,4.361949920654297,4.361949920654297,0.0,0.1545228660106659,0.1545228660106659
27,27,EXTERNAL_SAMPLE/0000027.png,origin_clean,clean,0,0,0,14.752575874328613,14.752575874328613,0.0,0.999947190284729,0.999947190284729
28,28,EXTERNAL_SAMPLE/0000028.png,origin_clean,clean,0,0,0,8.37843132019043,8.37843132019043,0.0,0.9893391728401184,0.9893391728401184
29,29,EXTERNAL_SAMPLE/0000029.png,origin_clean,clean,0,0,0,14.303997993469238,14.303997993469238,0.0,0.9999858140945435,0.9999858140945435
30,30,EXTERNAL_SAMPLE/0000030.png,origin_clean,clean,0,0,0,15.339973449707031,15.339973449707031,0.0,0.999994158744812,0.999994158744812
31,31,EXTERNAL_SAMPLE/0000031.png,origin_clean,clean,0,0,0,10.083596229553223,10.083596229553223,0.0,0.996543824672699,0.996543824672699
32,32,EXTERNAL_SAMPLE/0000032.png,origin_clean,clean,0,0,0,11.004095077514648,11.004095077514648,0.0,0.9992455244064331,0.9992455244064331
33,33,EXTERNAL_SAMPLE/0000033.png,origin_clean,clean,0,0,0,12.044729232788086,12.044729232788086,0.0,0.9996236562728882,0.9996236562728882
34,34,EXTERNAL_SAMPLE/0000034.png,origin_clean,clean,0,0,2,3.77131724357605,3.77131724357605,0.0,0.008019695058465004,0.008019695058465004
35,35,EXTERNAL_SAMPLE/0000035.png,origin_clean,clean,0,0,0,9.478119850158691,9.478119850158691,0.0,0.9969235062599182,0.9969235062599182
36,36,EXTERNAL_SAMPLE/0000036.png,origin_clean,clean,0,0,0,15.003730773925781,15.003730773925781,0.0,0.9999916553497314,0.9999916553497314
37,37,EXTERNAL_SAMPLE/0000037.png,origin_clean,clean,0,0,8,4.357917785644531,4.357917785644531,0.0,0.3164970278739929,0.3164970278739929
38,38,EXTERNAL_SAMPLE/0000038.png,origin_clean,clean,0,0,0,13.110505104064941,13.110505104064941,0.0,0.9999452829360962,0.9999452829360962
39,39,EXTERNAL_SAMPLE/0000039.png,origin_clean,clean,0,0,0,16.724592208862305,16.724592208862305,0.0,0.9999955892562866,0.9999955892562866
40,40,EXTERNAL_SAMPLE/0000040.png,origin_clean,clean,0,0,0,13.839658737182617,13.839658737182617,0.0,0.9999642372131348,0.9999642372131348
41,41,EXTERNAL_SAMPLE/0000041.png,origin_clean,clean,0,0,0,11.693578720092773,11.693578720092773,0.0,0.9902825355529785,0.9902825355529785
42,42,EXTERNAL_SAMPLE/0000042.png,origin_clean,clean,0,0,0,20.5921630859375,20.5921630859375,0.0,1.0,1.0
43,43,EXTERNAL_SAMPLE/0000043.png,origin_clean,clean,0,0,0,11.925374031066895,11.925374031066895,0.0,0.9997765421867371,0.9997765421867371
44,44,EXTERNAL_SAMPLE/0000044.png,origin_clean,clean,0,0,0,6.016720771789551,6.016720771789551,0.0,0.7769185304641724,0.7769185304641724
45,45,EXTERNAL_SAMPLE/0000045.png,origin_clean,clean,0,0,0,11.369766235351562,11.369766235351562,0.0,0.9985306262969971,0.9985306262969971
46,46,EXTERNAL_SAMPLE/0000046.png,origin_clean,clean,0,0,0,15.415922164916992,15.415922164916992,0.0,0.9999924898147583,0.9999924898147583
47,47,EXTERNAL_SAMPLE/0000047.png,origin_clean,clean,0,0,0,7.513579845428467,7.513579845428467,0.0,0.9368659853935242,0.9368659853935242
48,48,EXTERNAL_SAMPLE/0000048.png,origin_clean,clean,0,0,0,15.05530071258545,15.05530071258545,0.0,0.9998075366020203,0.9998075366020203
49,49,EXTERNAL_SAMPLE/0000049.png,origin_clean,clean,0,0,0,7.5800557136535645,7.5800557136535645,0.0,0.9651877880096436,0.9651877880096436
50,50,EXTERNAL_SAMPLE/0000050.png,origin_clean,clean,0,0,0,11.903669357299805,11.903669357299805,0.0,0.9997884631156921,0.9997884631156921
51,51,EXTERNAL_SAMPLE/0000051.png,origin_clean,clean,0,0,0,10.562357902526855,10.562357902526855,0.0,0.9992603659629822,0.9992603659629822
52,52,EXTERNAL_SAMPLE/0000052.png,origin_clean,clean,0,0,0,11.380511283874512,11.380511283874512,0.0,0.9996435642242432,0.9996435642242432
53,53,EXTERNAL_SAMPLE/0000053.png,origin_clean,clean,0,0,0,7.3930983543396,7.3930983543396,0.0,0.9552538990974426,0.9552538990974426
54,54,EXTERNAL_SAMPLE/0000054.png,origin_clean,clean,0,0,0,9.771588325500488,9.771588325500488,0.0,0.9891807436943054,0.9891807436943054
55,55,EXTERNAL_SAMPLE/0000055.png,origin_clean,clean,0,0,0,15.211114883422852,15.211114883422852,0.0,0.9999964237213135,0.9999964237213135
56,56,EXTERNAL_SAMPLE/0000056.png,origin_clean,clean,0,0,0,8.759475708007812,8.759475708007812,0.0,0.9850119352340698,0.9850119352340698
57,57,EXTERNAL_SAMPLE/0000057.png,origin_clean,clean,0,0,0,9.72831916809082,9.72831916809082,0.0,0.9969981908798218,0.9969981908798218
58,58,EXTERNAL_SAMPLE/0000058.png,origin_clean,clean,0,0,0,7.863574981689453,7.863574981689453,0.0,0.9372845888137817,0.9372845888137817
59,59,EXTERNAL_SAMPLE/0000059.png,origin_clean,clean,0,0,0,3.767178773880005,3.767178773880005,0.0,0.37988439202308655,0.37988439202308655
60,60,EXTERNAL_SAMPLE/0000060.png,origin_clean,clean,0,0,0,9.077345848083496,9.077345848083496,0.0,0.9893264770507812,0.9893264770507812
61,61,EXTERNAL_SAMPLE/0000061.png,origin_clean,clean,0,0,0,11.965404510498047,11.965404510498047,0.0,0.9997135996818542,0.9997135996818542
62,62,EXTERNAL_SAMPLE/0000062.png,origin_clean,clean,0,0,0,10.961593627929688,10.961593627929688,0.0,0.9996213912963867,0.9996213912963867
63,63,EXTERNAL_SAMPLE/0000063.png,origin_clean,clean,0,0,0,7.452676296234131,7.452676296234131,0.0,0.8887808918952942,0.8887808918952942
64,64,EXTERNAL_SAMPLE/0000064.png,origin_clean,clean,0,0,0,12.459165573120117,12.459165573120117,0.0,0.9998893737792969,0.9998893737792969
65,65,EXTERNAL_SAMPLE/0000065.png,origin_clean,clean,0,0,0,13.54018497467041,13.54018497467041,0.0,0.9993795156478882,0.9993795156478882
66,66,EXTERNAL_SAMPLE/0000066.png,origin_clean,clean,0,0,0,13.04704761505127,13.04704761505127,0.0,0.9999277591705322,0.9999277591705322
67,67,EXTERNAL_SAMPLE/0000067.png,origin_clean,clean,0,0,0,7.394512176513672,7.394512176513672,0.0,0.9606178402900696,0.9606178402900696
68,68,EXTERNAL_SAMPLE/0000068.png,origin_clean,clean,0,0,0,13.667449951171875,13.667449951171875,0.0,0.9999618530273438,0.9999618530273438
69,69,EXTERNAL_SAMPLE/0000069.png,origin_clean,clean,0,0,0,14.761889457702637,14.761889457702637,0.0,0.999994158744812,0.999994158744812
70,70,EXTERNAL_SAMPLE/0000070.png,origin_clean,clean,0,0,0,16.3355770111084,16.3355770111084,0.0,0.9999983310699463,0.9999983310699463
71,71,EXTERNAL_SAMPLE/0000071.png,origin_clean,clean,0,0,0,4.391213417053223,4.391213417053223,0.0,0.5995799899101257,0.5995799899101257
72,72,EXTERNAL_SAMPLE/0000072.png,origin_clean,clean,0,0,0,14.687444686889648,14.687444686889648,0.0,0.9998651742935181,0.9998651742935181
73,73,EXTERNAL_SAMPLE/0000073.png,origin_clean,clean,0,0,0,12.199190139770508,12.199190139770508,0.0,0.9998458623886108,0.9998458623886108
74,74,EXTERNAL_SAMPLE/0000074.png,origin_clean,clean,0,0,5,4.279717922210693,4.279717922210693,0.0,0.3523527979850769,0.3523527979850769
75,75,EXTERNAL_SAMPLE/0000075.png,origin_clean,clean,0,0,0,13.23006820678711,13.23006820678711,0.0,0.999944806098938,0.999944806098938
76,76,EXTERNAL_SAMPLE/0000076.png,origin_clean,clean,0,0,0,19.617027282714844,19.617027282714844,0.0,1.0,1.0
77,77,EXTERNAL_SAMPLE/0000077.png,origin_clean,clean,0,0,0,13.645604133605957,13.645604133605957,0.0,0.9999756813049316,0.9999756813049316
78,78,EXTERNAL_SAMPLE/0000078.png,origin_clean,clean,0,0,0,10.551737785339355,10.551737785339355,0.0,0.9992469549179077,0.9992469549179077
79,79,EXTERNAL_SAMPLE/0000079.png,origin_clean,clean,0,0,0,18.76603889465332,18.76603889465332,0.0,0.9999997615814209,0.9999997615814209
80,80,EXTERNAL_SAMPLE/0000080.png,origin_clean,clean,0,0,0,13.656766891479492,13.656766891479492,0.0,0.9999585151672363,0.9999585151672363
81,81,EXTERNAL_SAMPLE/0000081.png,origin_clean,clean,0,0,0,11.546370506286621,11.546370506286621,0.0,0.9991716146469116,0.9991716146469116
82,82,EXTERNAL_SAMPLE/0000082.png,origin_clean,clean,0,0,0,6.793689727783203,6.793689727783203,0.0,0.9108793139457703,0.9108793139457703
83,83,EXTERNAL_SAMPLE/0000083.png,origin_clean,clean,0,0,0,12.333273887634277,12.333273887634277,0.0,0.9998592138290405,0.9998592138290405
84,84,EXTERNAL_SAMPLE/0000084.png,origin_clean,clean,0,0,0,11.2652006149292,11.2652006149292,0.0,0.9994375109672546,0.9994375109672546
85,85,EXTERNAL_SAMPLE/0000085.png,origin_clean,clean,0,0,0,14.462361335754395,14.462361335754395,0.0,0.9999744892120361,0.9999744892120361
86,86,EXTERNAL_SAMPLE/0000086.png,origin_clean,clean,0,0,0,8.153773307800293,8.153773307800293,0.0,0.977458119392395,0.977458119392395
87,87,EXTERNAL_SAMPLE/0000087.png,origin_clean,clean,0,0,0,10.054831504821777,10.054831504821777,0.0,0.9976039528846741,0.9976039528846741
88,88,EXTERNAL_SAMPLE/0000088.png,origin_clean,clean,0,0,0,13.154257774353027,13.154257774353027,0.0,0.9999288320541382,0.9999288320541382
89,89,EXTERNAL_SAMPLE/0000089.png,origin_clean,clean,0,0,0,11.58934497833252,11.58934497833252,0.0,0.9993689656257629,0.9993689656257629
90,90,EXTERNAL_SAMPLE/0000090.png,origin_clean,clean,0,0,0,6.549450397491455,6.549450397491455,0.0,0.9425565600395203,0.9425565600395203
91,91,EXTERNAL_SAMPLE/0000091.png,origin_clean,clean,0,0,0,8.86855411529541,8.86855411529541,0.0,0.9468991756439209,0.9468991756439209
92,92,EXTERNAL_SAMPLE/0000092.png,origin_clean,clean,0,0,0,4.314887046813965,4.314887046813965,0.0,0.5620587468147278,0.5620587468147278
93,93,EXTERNAL_SAMPLE/0000093.png,origin_clean,clean,0,0,0,5.1965765953063965,5.1965765953063965,0.0,0.6758272051811218,0.6758272051811218
94,94,EXTERNAL_SAMPLE/0000094.png,origin_clean,clean,0,0,5,3.6665444374084473,3.6665444374084473,0.0,0.2207169085741043,0.2207169085741043
95,95,EXTERNAL_SAMPLE/0000095.png,origin_clean,clean,0,0,3,2.473466634750366,2.473466634750366,0.0,0.060093507170677185,0.060093507170677185
96,96,EXTERNAL_SAMPLE/0000096.png,origin_clean,clean,0,0,0,11.083165168762207,11.083165168762207,0.0,0.9991165995597839,0.9991165995597839
97,97,EXTERNAL_SAMPLE/0000097.png,origin_clean,clean,0,0,0,9.68855094909668,9.68855094909668,0.0,0.9972249269485474,0.9972249269485474
98,98,EXTERNAL_SAMPLE/0000098.png,origin_clean,clean,0,0,0,10.565157890319824,10.565157890319824,0.0,0.9988338351249695,0.9988338351249695
99,99,EXTERNAL_SAMPLE/0000099.png,origin_clean,clean,0,0,0,6.541274547576904,6.541274547576904,0.0,0.8924934267997742,0.8924934267997742
100,100,EXTERNAL_SAMPLE/0000100.png,origin_clean,clean,0,0,0,9.906980514526367,9.906980514526367,0.0,0.9982885718345642,0.9982885718345642
101,101,EXTERNAL_SAMPLE/0000101.png,origin_clean,clean,0,0,0,4.014037132263184,4.014037132263184,0.0,0.5688241720199585,0.5688241720199585
102,102,EXTERNAL_SAMPLE/0000102.png,origin_clean,clean,0,0,0,12.494003295898438,12.494003295898438,0.0,0.9996390342712402,0.9996390342712402
103,103,EXTERNAL_SAMPLE/0000103.png,origin_clean,clean,0,0,0,20.947097778320312,20.947097778320312,0.0,1.0,1.0
104,104,EXTERNAL_SAMPLE/0000104.png,origin_clean,clean,0,0,0,12.872354507446289,12.872354507446289,0.0,0.9894887804985046,0.9894887804985046
105,105,EXTERNAL_SAMPLE/0000105.png,origin_clean,clean,0,0,0,10.200922966003418,10.200922966003418,0.0,0.9987666606903076,0.9987666606903076
106,106,EXTERNAL_SAMPLE/0000106.png,origin_clean,clean,0,0,0,8.260870933532715,8.260870933532715,0.0,0.9622664451599121,0.9622664451599121
107,107,EXTERNAL_SAMPLE/0000107.png,origin_clean,clean,0,0,0,15.654582023620605,15.654582023620605,0.0,0.999996542930603,0.999996542930603
108,108,EXTERNAL_SAMPLE/0000108.png,origin_clean,clean,0,0,0,15.590669631958008,15.590669631958008,0.0,0.9999916553497314,0.9999916553497314
109,109,EXTERNAL_SAMPLE/0000109.png,origin_clean,clean,0,0,0,7.250961780548096,7.250961780548096,0.0,0.8789836168289185,0.8789836168289185
110,110,EXTERNAL_SAMPLE/0000110.png,origin_clean,clean,0,0,0,10.625980377197266,10.625980377197266,0.0,0.9972308278083801,0.9972308278083801
111,111,EXTERNAL_SAMPLE/0000111.png,origin_clean,clean,0,0,0,8.194884300231934,8.194884300231934,0.0,0.9863170981407166,0.9863170981407166
112,112,EXTERNAL_SAMPLE/0000112.png,origin_clean,clean,0,0,0,16.447696685791016,16.447696685791016,0.0,0.9999970197677612,0.9999970197677612
113,113,EXTERNAL_SAMPLE/0000113.png,origin_clean,clean,0,0,4,2.2780051231384277,2.2780051231384277,0.0,0.19930921494960785,0.19930921494960785
114,114,EXTERNAL_SAMPLE/0000114.png,origin_clean,clean,0,0,8,5.306397438049316,5.306397438049316,0.0,0.1741122454404831,0.1741122454404831
115,115,EXTERNAL_SAMPLE/0000115.png,origin_clean,clean,0,0,0,13.887517929077148,13.887517929077148,0.0,0.999927282333374,0.999927282333374
116,116,EXTERNAL_SAMPLE/0000116.png,origin_clean,clean,0,0,0,8.867728233337402,8.867728233337402,0.0,0.9956207871437073,0.9956207871437073
117,117,EXTERNAL_SAMPLE/0000117.png,origin_clean,clean,0,0,0,9.633951187133789,9.633951187133789,0.0,0.9663309454917908,0.9663309454917908
118,118,EXTERNAL_SAMPLE/0000118.png,origin_clean,clean,0,0,0,10.009502410888672,10.009502410888672,0.0,0.997878909111023,0.997878909111023
119,119,EXTERNAL_SAMPLE/0000119.png,origin_clean,clean,0,0,0,10.560133934020996,10.560133934020996,0.0,0.9986386895179749,0.9986386895179749
