dataset,attack,family,pipeline,degradation,strength,restoration_prior,condition,target_label,poison_rate,ca,asr,pa,delta_ca,delta_asr,delta_pa,outcome,source_log,input_handling
CIFAR10,BadNet,attack_log,none,none,0.0,none,origin_attack,1,0.05,0.8775,1,0.1,0,0,0,origin_attack,cifar10/attack_log/20260823_124910_CIFAR10ImageFolder_BadNet_none_0.0_seed1234.log,native evaluation
CIFAR10,Blended,attack_log,none,none,0.0,none,origin_attack,1,0.05,0.8801,1,0.1,0,0,0,origin_attack,cifar10/attack_log/20260823_125003_CIFAR10ImageFolder_Blended_none_0.0_seed1234.log,native evaluation
CIFAR10,ISSBA,attack_log,none,none,0.0,none,origin_attack,1,0.05,0.8742,0.9996666667,0.1003,0,0,0,origin_attack,cifar10/attack_log/20260823_125149_CIFAR10ImageFolder_ISSBA_none_0.0_seed1234.log,native evaluation
CIFAR10,WaNet,attack_log,none,none,0.0,none,origin_attack,1,0.05,0.8823,0.9968888889,0.1025,0,0,0,origin_attack,cifar10/attack_log/20260824_055805_CIFAR10ImageFolder_WaNet_none_0.0_seed1234.log,native evaluation
CIFAR10,BadNet,diffusionzip,diffusionzip,zip,100.0,I2I-Diffusion,defense,1,0.05,0.7317268273,0.8350183313,0.2119788021,-0.1457731727,-0.1649816687,0.1119788021,attack_preservation,cifar10/diffusionzip/20260823_211023_CIFAR10ImageFolder_BadNet_diffusionzip_100.0_seed1234.log,I2I-Diffusion tiling/splitting
CIFAR10,BadNet,diffusionzip,diffusionzip,zip,200.0,I2I-Diffusion,defense,1,0.05,0.5228,0.01488723475,0.5271472853,-0.3547,-0.9851127652,0.4271472853,utility_collapse,cifar10/diffusionzip/20260823_211207_CIFAR10ImageFolder_BadNet_diffusionzip_200.0_seed1234.log,I2I-Diffusion tiling/splitting
CIFAR10,BadNet,diffusionzip,diffusionzip,zip,300.0,I2I-Diffusion,defense,1,0.05,0.3430933174,0.00464344942,0.3539074166,-0.5344066826,-0.9953565506,0.2539074166,utility_collapse,cifar10/diffusionzip/20260823_211404_CIFAR10ImageFolder_BadNet_diffusionzip_300.0_seed1234.log,I2I-Diffusion tiling/splitting
CIFAR10,BadNet,diffusionzip,diffusionzip,zip,400.0,I2I-Diffusion,defense,1,0.05,0.2535085985,0.003412593571,0.2519833399,-0.6239914015,-0.9965874064,0.1519833399,utility_collapse,cifar10/diffusionzip/20260823_211616_CIFAR10ImageFolder_BadNet_diffusionzip_400.0_seed1234.log,I2I-Diffusion tiling/splitting
CIFAR10,BadNet,diffusionzip,diffusionzip,zip,500.0,I2I-Diffusion,defense,1,0.05,0.1852360852,0.001100352113,0.2017405063,-0.6922639148,-0.9988996479,0.1017405063,utility_collapse,cifar10/diffusionzip/20260823_211840_CIFAR10ImageFolder_BadNet_diffusionzip_500.0_seed1234.log,I2I-Diffusion tiling/splitting
CIFAR10,Blended,diffusionzip,diffusionzip,zip,100.0,I2I-Diffusion,defense,1,0.05,0.7367263274,0.1531111111,0.4218,-0.1433736726,-0.8468888889,0.3218,mixed,cifar10/diffusionzip/20260823_212117_CIFAR10ImageFolder_Blended_diffusionzip_100.0_seed1234.log,I2I-Diffusion tiling/splitting
CIFAR10,Blended,diffusionzip,diffusionzip,zip,200.0,I2I-Diffusion,defense,1,0.05,0.5218,0.006222222222,0.4438,-0.3583,-0.9937777778,0.3438,utility_collapse,cifar10/diffusionzip/20260823_212301_CIFAR10ImageFolder_Blended_diffusionzip_200.0_seed1234.log,I2I-Diffusion tiling/splitting
CIFAR10,Blended,diffusionzip,diffusionzip,zip,300.0,I2I-Diffusion,defense,1,0.05,0.3441888258,0.002210921954,0.2839936293,-0.5359111742,-0.997789078,0.1839936293,utility_collapse,cifar10/diffusionzip/20260823_212441_CIFAR10ImageFolder_Blended_diffusionzip_300.0_seed1234.log,I2I-Diffusion tiling/splitting
CIFAR10,Blended,diffusionzip,diffusionzip,zip,400.0,I2I-Diffusion,defense,1,0.05,0.2471832378,0.00132144037,0.2093046325,-0.6329167622,-0.9986785596,0.1093046325,utility_collapse,cifar10/diffusionzip/20260823_212616_CIFAR10ImageFolder_Blended_diffusionzip_400.0_seed1234.log,I2I-Diffusion tiling/splitting
CIFAR10,Blended,diffusionzip,diffusionzip,zip,500.0,I2I-Diffusion,defense,1,0.05,0.1789535683,0.001210520524,0.1824745327,-0.7011464317,-0.9987894795,0.08247453269,utility_collapse,cifar10/diffusionzip/20260823_212800_CIFAR10ImageFolder_Blended_diffusionzip_500.0_seed1234.log,I2I-Diffusion tiling/splitting
