dataset,attack,family,pipeline,degradation,strength,restoration_prior,condition,target_label,poison_rate,ca,asr,pa,delta_ca,delta_asr,delta_pa,outcome,source_log
Imagenette2,BadNet,attack_log,none,none,0.0,none,origin_attack,1,0.05,0.8461146497,0.971388102,0.1263694268,0,0,0,origin_attack,imagenette2/attack_log/20260804_180646_Imagenette2_BadNet_none_0.0_seed1234.log
Imagenette2,Blended,attack_log,none,none,0.0,none,origin_attack,1,0.05,0.861910828,0.997733711,0.1026751592,0,0,0,origin_attack,imagenette2/attack_log/20260804_180754_Imagenette2_Blended_none_0.0_seed1234.log
Imagenette2,ISSBA,attack_log,none,none,0.0,none,origin_attack,1,0.05,0.8287898089,0.9932011331,0.105477707,0,0,0,origin_attack,imagenette2/attack_log/20260808_142102_Imagenette2_ISSBA_none_0.0_seed1234.log
Imagenette2,WaNet,attack_log,none,none,0.0,none,origin_attack,1,0.05,0.8568152866,0.9807801018,0.1151592357,0,0,0,origin_attack,imagenette2/attack_log/20260819_011317_Imagenette2_WaNet_none_0.0_seed1234.log
Imagenette2,BadNet,diffusionzip,diffusionzip,zip,100.0,I2I-Diffusion,defense,1,0.05,0.821910828,0.6937677054,0.3689171975,-0.02420382167,-0.2776203966,0.2425477707,mixed,imagenette2/diffusionzip/20260818_200823_Imagenette2_BadNet_diffusionzip_100.0_seed1234.log
Imagenette2,BadNet,diffusionzip,diffusionzip,zip,200.0,I2I-Diffusion,defense,1,0.05,0.7977070064,0.01444759207,0.7987261146,-0.04840764333,-0.9569405099,0.6723566878,prediction_recovery,imagenette2/diffusionzip/20260818_202716_Imagenette2_BadNet_diffusionzip_200.0_seed1234.log
Imagenette2,BadNet,diffusionzip,diffusionzip,zip,300.0,I2I-Diffusion,defense,1,0.05,0.7785987261,0.01558073654,0.7722292994,-0.06751592359,-0.9558073655,0.6458598726,prediction_recovery,imagenette2/diffusionzip/20260818_205032_Imagenette2_BadNet_diffusionzip_300.0_seed1234.log
Imagenette2,BadNet,diffusionzip,diffusionzip,zip,400.0,I2I-Diffusion,defense,1,0.05,0.7436942675,0.0209631728,0.7385987261,-0.1024203822,-0.9504249292,0.6122292993,mixed,imagenette2/diffusionzip/20260818_211720_Imagenette2_BadNet_diffusionzip_400.0_seed1234.log
Imagenette2,BadNet,diffusionzip,diffusionzip,zip,500.0,I2I-Diffusion,defense,1,0.05,0.6718471338,0.03824362606,0.6670063694,-0.1742675159,-0.9331444759,0.5406369426,mixed,imagenette2/diffusionzip/20260818_214756_Imagenette2_BadNet_diffusionzip_500.0_seed1234.log
Imagenette2,Blended,diffusionzip,diffusionzip,zip,100.0,I2I-Diffusion,defense,1,0.05,0.8239490446,0.4529745042,0.5233121019,-0.03796178341,-0.5447592068,0.4206369427,prediction_recovery,imagenette2/diffusionzip/20260818_222206_Imagenette2_Blended_diffusionzip_100.0_seed1234.log
Imagenette2,Blended,diffusionzip,diffusionzip,zip,200.0,I2I-Diffusion,defense,1,0.05,0.7974522293,0.06968838527,0.7740127389,-0.0644585987,-0.9280453257,0.6713375797,prediction_recovery,imagenette2/diffusionzip/20260818_224042_Imagenette2_Blended_diffusionzip_200.0_seed1234.log
Imagenette2,Blended,diffusionzip,diffusionzip,zip,300.0,I2I-Diffusion,defense,1,0.05,0.7661146497,0.01898016997,0.7368152866,-0.09579617832,-0.978753541,0.6341401274,prediction_recovery,imagenette2/diffusionzip/20260818_230317_Imagenette2_Blended_diffusionzip_300.0_seed1234.log
